period,org_code,parent_org,org_name,ae_attendances_type_1,ae_attendances_type_2,ae_attendances_other,booked_ae_type_1,booked_ae_type_2,booked_ae_other,over_4hrs_type_1,over_4hrs_type_2,over_4hrs_other,over_4hrs_booked_type_1,over_4hrs_booked_type_2,over_4hrs_booked_other,dta_4_12hr_waits,dta_12hr_plus_waits,emergency_admissions_type_1,emergency_admissions_type_2,emergency_admissions_other_ae,other_emergency_admissions,source_file,total_ae_attendances,total_over_4hrs,total_emergency_admissions,over_4hrs_rate,admission_rate,over_4hrs_rate_pct,admission_rate_pct,reporting_month,performance_risk
MSitAE-DECEMBER-2023,C82009,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH MED.CTR,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,December-2023-revised-130624-nbe280.csv,184,0,0,0.0,0.0,0.0,0.0,December-2023,Lower Pressure
MSitAE-DECEMBER-2023,NTPAD,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,0,0,4979,0,0,249,0,0,138,0,0,3,0,0,0,0,0,0,December-2023-revised-130624-nbe280.csv,5228,141,0,0.02697016067329763,0.0,2.7,0.0,December-2023,Lower Pressure
MSitAE-DECEMBER-2023,R1D,NHS ENGLAND MIDLANDS ,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,0,0,2571,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,December-2023-revised-130624-nbe280.csv,2571,1,0,0.00038895371450797355,0.0,0.04,0.0,December-2023,Lower Pressure
MSitAE-DECEMBER-2023,R1F,NHS ENGLAND SOUTH EAST ,ISLE OF WIGHT NHS TRUST,3444,0,1968,21,0,25,1746,0,0,10,0,0,260,179,1083,0,0,325,December-2023-revised-130624-nbe280.csv,5458,1756,1408,0.321729571271528,0.2579699523635031,32.17,25.8,December-2023,High Pressure
MSitAE-DECEMBER-2023,RAN,NHS ENGLAND LONDON,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,December-2023-revised-130624-nbe280.csv,0,0,36,0.0,0.0,0.0,0.0,December-2023,Lower Pressure
MSitAE-DECEMBER-2023,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,6323,0,0,0,0,0,980,0,0,0,0,0,0,0,899,0,0,356,December-2023-revised-130624-nbe280.csv,6323,980,1255,0.15498972006958722,0.19848173335442038,15.5,19.85,December-2023,Moderate Pressure
MSitAE-DECEMBER-2023,RDE,NHS ENGLAND EAST OF ENGLAND ,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,14539,0,11405,310,0,239,6811,0,268,0,0,0,1176,345,6058,0,290,1009,December-2023-revised-130624-nbe280.csv,26493,7079,7357,0.2672026573057034,0.2776959951685351,26.72,27.77,December-2023,Moderate Pressure
MSitAE-DECEMBER-2023,REP,NHS ENGLAND NORTH WEST ,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,0,1196,0,0,117,0,0,114,0,0,0,0,0,0,0,91,0,12,December-2023-revised-130624-nbe280.csv,1313,114,103,0.08682406702208682,0.07844630616907845,8.68,7.84,December-2023,Lower Pressure
MSitAE-DECEMBER-2023,RGP,NHS ENGLAND EAST OF ENGLAND ,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6402,0,1335,106,0,0,2598,0,0,31,0,0,512,265,1691,0,0,512,December-2023-revised-130624-nbe280.csv,7843,2629,2203,0.33520336605890605,0.28088741552977176,33.52,28.09,December-2023,High Pressure
MSitAE-DECEMBER-2023,RJ1,NHS ENGLAND LONDON,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,10394,646,5814,0,0,0,4616,0,288,0,0,0,260,5,1863,0,0,263,December-2023-revised-130624-nbe280.csv,16854,4904,2126,0.2909695027886555,0.12614216209801826,29.1,12.61,December-2023,Moderate Pressure
MSitAE-DECEMBER-2023,RJC,NHS ENGLAND MIDLANDS ,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,7619,0,282,21,0,0,2564,0,0,0,0,0,449,8,2167,0,0,667,December-2023-revised-130624-nbe280.csv,7922,2564,2834,0.32365564251451656,0.35773794496339306,32.37,35.77,December-2023,High Pressure
MSitAE-DECEMBER-2023,RJL,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,14635,0,0,0,0,0,5640,0,0,0,0,0,860,705,4623,0,0,557,December-2023-revised-130624-nbe280.csv,14635,5640,5180,0.3853775196446874,0.35394601981551077,38.54,35.39,December-2023,High Pressure
MSitAE-DECEMBER-2023,RKB,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,11219,1661,7435,41,0,138,5725,127,190,19,0,1,269,26,3143,70,90,1417,December-2023-revised-130624-nbe280.csv,20494,6062,4720,0.29579389089489605,0.23031131062750074,29.58,23.03,December-2023,Moderate Pressure
MSitAE-DECEMBER-2023,RL1,NHS ENGLAND MIDLANDS ,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,December-2023-revised-130624-nbe280.csv,0,0,18,0.0,0.0,0.0,0.0,December-2023,Lower Pressure
MSitAE-DECEMBER-2023,RLT,NHS ENGLAND MIDLANDS ,GEORGE ELIOT HOSPITAL NHS TRUST,6731,0,1583,0,0,0,2182,0,56,0,0,0,634,98,1074,0,0,44,December-2023-revised-130624-nbe280.csv,8314,2238,1118,0.26918450805869615,0.13447197498195815,26.92,13.45,December-2023,Moderate Pressure
MSitAE-DECEMBER-2023,RN7,NHS ENGLAND SOUTH EAST ,DARTFORD AND GRAVESHAM NHS TRUST,11816,0,3576,0,0,0,4334,0,39,0,0,0,1014,2,3174,0,0,323,December-2023-revised-130624-nbe280.csv,15392,4373,3497,0.28410862785862784,0.22719594594594594,28.41,22.72,December-2023,Moderate Pressure
MSitAE-DECEMBER-2023,RNN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,8487,0,1648,320,0,30,3995,0,20,94,0,1,641,683,2337,0,0,711,December-2023-revised-130624-nbe280.csv,10485,4110,3048,0.39198855507868385,0.29070100143061517,39.2,29.07,December-2023,High Pressure
MSitAE-DECEMBER-2023,RNZ,NHS ENGLAND SOUTH WEST ,SALISBURY NHS FOUNDATION TRUST,3940,264,2046,324,0,0,1669,0,0,135,0,0,428,5,1314,0,0,786,December-2023-revised-130624-nbe280.csv,6574,1804,2100,0.27441435959841803,0.31944021904472164,27.44,31.94,December-2023,Moderate Pressure
MSitAE-DECEMBER-2023,RQM,NHS ENGLAND LONDON,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,19078,0,5883,592,0,0,5044,0,368,0,0,0,976,25,2785,0,0,367,December-2023-revised-130624-nbe280.csv,25553,5412,3152,0.21179509255273354,0.12335146558134075,21.18,12.34,December-2023,Moderate Pressure
MSitAE-DECEMBER-2023,RRF,NHS ENGLAND NORTH WEST ,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",7636,0,5109,0,0,0,4057,0,78,0,0,0,1316,406,2399,0,0,792,December-2023-revised-130624-nbe280.csv,12745,4135,3191,0.3244409572381326,0.2503726951745783,32.44,25.04,December-2023,High Pressure
MSitAE-DECEMBER-2023,RRV,NHS ENGLAND LONDON,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,12125,0,0,554,0,0,4076,0,0,0,0,0,349,192,1383,0,0,279,December-2023-revised-130624-nbe280.csv,12679,4076,1662,0.3214764571338434,0.1310828929726319,32.15,13.11,December-2023,High Pressure
MSitAE-DECEMBER-2023,RTE,NHS ENGLAND SOUTH WEST ,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,11406,0,469,231,0,0,4853,0,0,77,0,0,501,905,2840,0,0,1820,December-2023-revised-130624-nbe280.csv,12106,4930,4660,0.40723608128200894,0.3849330910292417,40.72,38.49,December-2023,High Pressure
MSitAE-DECEMBER-2023,RVV,NHS ENGLAND SOUTH EAST ,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,13242,0,11746,0,0,0,7487,0,250,0,0,0,573,1260,3795,0,424,1067,December-2023-revised-130624-nbe280.csv,24988,7737,5286,0.3096286217384345,0.2115415399391708,30.96,21.15,December-2023,High Pressure
